X(E/m),Y(N/m)
330333.854117523878813,4156699.419920247048140
330333.835313195828348,4156699.364801484160125
330333.807673487055581,4156699.309863248839974
330333.788642442843411,4156699.243648522999138
330333.769384687184356,4156699.166337838862091
330333.740157982916571,4156699.033727865200490
330333.721353653352708,4156698.978609103243798
330333.693487229174934,4156698.912574904505163
330333.683291566732805,4156698.846179656684399
330333.655425139586441,4156698.780145457945764
330333.645002763194498,4156698.702654247172177
330333.626198432524689,4156698.647535484284163
330333.605807106127031,4156698.514744987711310
330333.586776061216369,4156698.448530264198780
330333.557322636304889,4156698.304824330378324
330333.538291590637527,4156698.238609605934471
330333.519260544679128,4156698.172394883353263
330333.509064880432561,4156698.105999635066837
330333.490033834008500,4156698.039784912485629
330333.488673551473767,4156697.973209138028324
330333.478251173102763,4156697.895717925857753
330333.468055508215912,4156697.829322678502649
330333.458086557104252,4156697.774023391306400
330333.447890892042778,4156697.707628143951297
330333.437695224652998,4156697.641232894733548
330333.427499561628792,4156697.574837645981461
330333.408695225312840,4156697.519718884956092
330333.398726273560897,4156697.464419599622488
330333.397365990502294,4156697.397843824699521
330333.396005707443692,4156697.331268050707877
330333.376974658924155,4156697.265053328126669
330333.367005706764758,4156697.209754041396081
330333.356810040597338,4156697.143358793575317
330333.346841088263318,4156697.088059507776052
330333.327583324979059,4156697.010748820845038
330333.317387656192295,4156696.944353574421257
330333.316254086559638,4156696.888873761985451
330333.297449750476517,4156696.833755000960082
330333.287254083552398,4156696.767359752207994
330333.277058416628279,4156696.700964505318552
330333.267089463421144,4156696.645665217656642
330333.247831698623486,4156696.568354533985257
330333.228800647484604,4156696.502139810938388
330333.218604979861993,4156696.435744562186301
330333.208409312064759,4156696.369349313899875
330333.189604974351823,4156696.314230553805828
330333.179182589985430,4156696.236739343497902
330333.167853351449594,4156696.114864284172654
330333.175328451325186,4156696.048107984941453
330333.156297398731112,4156695.981893261428922
330333.146101730118971,4156695.915498014073819
330333.144968159846030,4156695.860018202569336
330333.115741437766701,4156695.727408230770379
330333.077679328154773,4156695.594978786073625
330333.067483660939615,4156695.528583538718522
330333.048452604329214,4156695.462368816602975
330333.038256934611127,4156695.395973568316549
330333.028061264718417,4156695.329578320495784
330333.018092308891937,4156695.274279034230858
330333.006763067794964,4156695.152403975371271
330332.996567397494800,4156695.086008726153523
330332.995433826465160,4156695.030528914649040
330332.994073541311081,4156694.963953141588718
330333.001775355660357,4156694.908292803913355
330332.991579685185570,4156694.841897557023913
330332.981610728777014,4156694.786598270758986
330332.980477157863788,4156694.731118459720165
330332.951250428217463,4156694.598508489783853
330332.949890142888762,4156694.531932715792209
330332.948756571742706,4156694.476452903822064
330332.928365229279734,4156694.343662408180535
330332.909334171796218,4156694.277447686064988
330332.888942828460131,4156694.144657189492136
330332.877613585209474,4156694.022782130632550
330332.867417913163081,4156693.956386883277446
330332.857222241000272,4156693.889991634991020
330332.847253283078317,4156693.834692350588739
330332.835924039012752,4156693.712817291263491
330332.815759408171289,4156693.591122757643461
330332.814399122144096,4156693.524546984583139
330332.804203447070904,4156693.458151737228036
330332.794234488450456,4156693.402852451428771
330332.784038815298118,4156693.336457203142345
330332.774069856444839,4156693.281157917343080
330332.755038795992732,4156693.214943195227534
330332.753678509732708,4156693.148367422167212
330332.743256121757440,4156693.070876211393625
330332.732153588207439,4156692.960097115021199
330332.713122529094107,4156692.893882393371314
330332.701793280662969,4156692.772007335908711
330332.672566544322763,4156692.639397366903722
330332.662370869773440,4156692.573002119548619
330332.661237297521438,4156692.517522307112813
330332.650814908323810,4156692.440031098201871
330332.630650272942148,4156692.318336564116180
330332.620454597868957,4156692.251941316295415
330332.619094310910441,4156692.185365542769432
330332.617960738483816,4156692.129885731264949
330332.606631488422863,4156692.008010673802346
330332.614333306672052,4156691.952350335661322
330332.612973019713536,4156691.885774562601000
330332.601643769652583,4156691.763899504207075
330332.563581642927602,4156691.631470061838627
330332.553385964594781,4156691.565074814483523
330332.542056715639774,4156691.443199754692614
330332.531861039344221,4156691.376804507337511
330332.521438648342155,4156691.299313299357891
330332.510109398863278,4156691.177438239101321
330332.500140436692163,4156691.122138953767717
330332.489944759872742,4156691.055743707809597
330332.479522366018500,4156690.978252497036010
330332.467966403579339,4156690.845281476620585
330332.447801761212759,4156690.723586944863200
330332.427637120592408,4156690.601892412174493
330332.407245764916297,4156690.469101918395609
330332.395689798984677,4156690.336130897980183
330332.366689766757190,4156690.214616891462356
330332.365329478634521,4156690.148041119333357
330332.345164836151525,4156690.026346587110311
330332.325000190874562,4156689.904652055352926
330332.314804514113348,4156689.838256806600839
330332.285804477287456,4156689.716742801945657
330332.265413118177094,4156689.583952308632433
330332.254083864623681,4156689.462077249772847
330332.233919217251241,4156689.340382718946785
330332.222363250562921,4156689.207411697600037
330332.211033993982710,4156689.085536639671773
330332.190415920340456,4156688.941650184337050
330332.170251271338202,4156688.819955651648343
330332.149859909317456,4156688.687165158800781
330332.129468546831049,4156688.554374665953219
330332.128108257544227,4156688.487798891961575
330332.126747968257405,4156688.421223118901253
330332.106129887979478,4156688.277336663100868
330332.094800633960404,4156688.155461604706943
330332.092306770151481,4156688.033406021073461
330332.089359476580285,4156687.889158511999995
330332.051070609013550,4156687.745633109938353
330332.039741351734847,4156687.623758051544428
330332.038381062215194,4156687.557182278484106
330332.026598374824971,4156687.413115296978503
330332.024104510666803,4156687.291059712413698
330332.012548537924886,4156687.158088692463934
330332.018890067469329,4156687.035852582193911
330332.016169488604646,4156686.902701036538929
330332.013448909739964,4156686.769549489021301
330332.019337010220625,4156686.625121455173939
330332.017976720933802,4156686.558545682113618
330332.015256142418366,4156686.425394136458635
330332.022731247707270,4156686.358637834899127
330332.020010669366457,4156686.225486289709806
330332.027485777274705,4156686.158729990944266
330332.033600591763388,4156686.025397918187082
330332.030653299181722,4156685.881150408647954
330332.029293010244146,4156685.814574636518955
330332.026345717837103,4156685.670327129308134
330332.033820824290160,4156685.603570828679949
330332.032687250350136,4156685.548091018106788
330332.031326961645391,4156685.481515245046467
330332.029966672998853,4156685.414939472451806
330332.028606384352315,4156685.348363698925823
330332.027246095705777,4156685.281787925865501
330332.025885807117447,4156685.215212152805179
330332.033360916422680,4156685.148455853108317
330332.030640339362435,4156685.015304308384657
330332.027693047712091,4156684.871056797914207
330332.026332759298384,4156684.804481026250869
330331.996879278915003,4156684.660775098018348
330331.986683591734618,4156684.594379850197583
330331.985096588323358,4156684.516708116512746
330331.983509584912099,4156684.439036380965263
330331.971953611122444,4156684.306065362412483
330331.970593322475906,4156684.239489588420838
330331.978068430616986,4156684.172733289189637
330331.976481427322142,4156684.095061553642154
330331.966285741887987,4156684.028666307218373
330331.954503052926157,4156683.884599327109754
330331.944307367200963,4156683.818204080685973
330331.943173793319147,4156683.762724269647151
330331.941586789907888,4156683.685052534565330
330331.939999786554836,4156683.607380799949169
330331.928443811892066,4156683.474409779999405
330331.926856808539014,4156683.396738045848906
330331.925723234657198,4156683.341258234810084
330331.906692150630988,4156683.275043514557183
330331.905105147161521,4156683.197371779941022
330331.903744858514983,4156683.130796006880701
330331.893549169646576,4156683.064400760922581
330331.883353485085536,4156682.998005515895784
