X(E/m),Y(N/m)
330271.562604341539554,4156627.073728893883526
330271.360069136426318,4156627.111170322168618
330271.157760724774562,4156627.159707718528807
330270.954998731031083,4156627.186053195036948
330270.744081655750051,4156627.245867152232677
330270.541319664916955,4156627.272212638985366
330270.321340341703035,4156627.321111235301942
330270.110196480294690,4156627.369829249102622
330269.889763574639801,4156627.396535931155086
330269.669557463959791,4156627.434338582213968
330269.458186814328656,4156627.471960648428649
330269.237980706850067,4156627.509763311594725
330269.017774601234123,4156627.547565981280059
330268.806630751467310,4156627.596284027211368
330268.586424649460241,4156627.634086707141250
330268.365764955757186,4156627.649697468616068
330268.163456573034637,4156627.698234937619418
330267.960694598034024,4156627.724580488633364
330267.767221675952896,4156627.772937376517802
330267.564232906908728,4156627.788186975289136
330267.370533191249706,4156627.825447909068316
330267.176606679975521,4156627.851612885016948
330266.991742426063865,4156627.888693235348910
330266.788753660221118,4156627.903942852746695
330266.594827151857316,4156627.930107841268182
330266.392065187683329,4156627.956453431397676
330266.197911882831249,4156627.971522468142211
330265.986314456793480,4156627.998048662673682
330265.792161155375652,4156628.013117707334459
330265.580563733470626,4156628.039643910713494
330265.386410430946853,4156628.054712968878448
330265.183421669993550,4156628.069962624460459
330264.980659709544852,4156628.096308246720582
330264.777670949755702,4156628.111557913944125
330264.592353108339012,4156628.126446391921490
330264.398653410142288,4156628.163707397412509
330264.204500113381073,4156628.178776480257511
330264.019409075146541,4156628.204760935623199
330263.834091236232780,4156628.219649431761354
330263.649227001471445,4156628.256729856133461
330263.455073707387783,4156628.271798958536237
330263.261374014022294,4156628.309059989638627
330263.067220721277408,4156628.324129099957645
330262.873294229793828,4156628.350294176954776
330262.714709574065637,4156628.375736868008971
330262.520556280971505,4156628.390805991366506
330262.353136170306243,4156628.416429286357015
330262.176880599581636,4156628.442233184352517
330262.009460488450713,4156628.467856485862285
330261.842040380463004,4156628.493479792028666
330261.657176158332732,4156628.530560262035578
330261.472085135115776,4156628.556544773280621
330261.295829569105990,4156628.582348687574267
330261.110965350759216,4156628.619429171085358
330260.926327939436305,4156628.667605620343238
330260.741010112571530,4156628.682494186330587
330260.564981359057128,4156628.719394080340862
330260.371054881368764,4156628.745559216942638
330260.204088393074926,4156628.793374482542276
330260.019224185263738,4156628.830454988405108
330259.851804086298216,4156628.856078334618360
330259.675775337149389,4156628.892978248652071
330259.499746589281131,4156628.929878165014088
330259.323491037357599,4156628.955682123545557
330259.147462291992269,4156628.992582049220800
330258.980269006220624,4156629.029301375150681
330258.804240265861154,4156629.066201307810843
